,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,label,location_known,length,contains_emoji,contains_tag,contains_at,contains_link
0,1,0,24,0,35,0,200,0,0.155,1287,1,0,73,0,0,0,0
1,1,0,145,44,202,0,313,0,0.273,1148,1,1,95,0,1,0,0
2,1,0,319,10,0,0,55,0,0.016,3346,1,1,43,0,0,0,1
3,0,0,80,1,0,0,14,0,0.005,2667,1,1,54,0,0,0,1
4,0,0,226,200,0,1,521,0,0.174,2987,1,0,54,0,0,0,1
5,0,0,2426,96,149,1,3383,0,0.752,4500,1,0,26,0,0,0,0
6,0,0,1368,135,308,1,31589,0,15.216,2076,1,1,8,0,1,0,0
7,1,0,19868,83404,91815,0,56015,0,16.622,3370,1,0,108,0,1,0,0
8,0,0,1630,13,0,0,2301,0,0.594,3871,1,0,76,0,0,0,0
9,0,0,11,522,347,0,1746,0,1.611,1084,1,0,119,0,0,0,0
10,1,0,262,13,0,0,50,0,0.022,2294,1,1,50,0,0,0,1
11,1,0,1739,11,21,0,2600,0,1.136,2288,1,0,98,0,0,0,0
12,1,0,109,0,0,0,23,0,0.009,2599,1,1,59,0,0,0,1
13,1,0,318,23,290,0,67,0,0.028,2358,1,1,59,0,0,0,1
14,1,0,1858,33,6,0,2797,0,0.999,2801,1,0,131,0,0,0,0
15,1,0,1239,2,0,0,1239,0,0.764,1622,1,0,129,0,0,0,0
16,0,0,2,3,1,0,2015,0,1.721,1171,1,0,145,0,0,0,0
17,1,0,2191,1,138,0,2196,0,0.764,2875,1,0,50,0,0,0,0
18,1,0,25,0,9,0,390,0,0.309,1262,1,0,151,0,0,0,0
19,0,0,2314,154,268,0,3454,0,0.883,3911,1,0,88,0,0,0,0
20,1,0,37,30,0,0,288,0,0.226,1272,1,0,111,0,0,0,0
21,0,0,2622,166,0,1,4149,0,1.59,2609,1,1,39,0,0,0,0
22,0,0,305,1045,1391,1,15603,0,3.877,4025,1,0,48,0,0,0,0
23,1,0,2189,2,95,0,2195,0,0.763,2875,1,0,54,0,0,0,0
24,0,0,4774,62,340,1,3631,0,1.113,3262,1,0,96,0,0,0,0
25,0,0,139,83,0,1,796,0,0.256,3104,1,0,53,0,0,0,1
26,1,0,277,6,0,0,23,0,0.007,3375,1,1,54,0,0,0,1
27,1,0,134,7,58,0,38,0,0.031,1231,1,0,38,0,0,0,1
28,1,0,793,23,365,0,1157,0,0.881,1314,1,0,30,0,0,0,0
29,1,0,1073,27,156,0,1397,0,1.153,1212,1,0,139,0,0,0,0
30,0,0,2315,29,0,0,3625,0,1.016,3567,1,0,62,0,0,1,0
31,1,0,1577,43,0,1,1907,0,1.504,1268,1,0,83,0,0,0,0
32,1,0,155,228,1470,1,184,0,0.195,942,1,0,89,0,0,0,1
33,0,0,4737,257,291,1,1297,0,0.523,2480,1,0,144,0,1,1,0
34,0,0,2412,18,55,0,3480,0,0.842,4134,1,1,115,0,0,0,0
35,0,0,1564,466,815,1,6404,0,1.98,3235,1,0,39,0,0,0,0
36,0,0,2323,13,43,0,3241,0,1.142,2839,1,1,32,0,0,0,0
37,0,0,108055,1665,483,0,84712,0,72.902,1162,1,0,157,0,1,0,0
38,1,0,0,2,1,0,3918,0,3.443,1138,1,0,158,0,1,1,0
39,0,0,2184,30,59,1,2966,0,0.708,4192,1,0,71,0,0,0,0
40,1,0,1234,13,0,0,1235,0,0.845,1462,1,1,108,0,0,0,0
41,1,0,195914,11590,9475,0,414488,0,267.239,1551,1,0,157,0,1,0,0
42,1,0,363,15,0,0,64,0,0.02,3186,1,1,59,0,0,0,1
43,1,0,236,8,0,0,47,0,0.023,2043,1,1,78,0,0,0,1
44,1,0,0,464,1,0,20012,0,16.649,1202,1,0,69,0,0,1,0
45,0,0,1241,0,0,0,1240,0,0.421,2944,1,0,108,0,0,0,0
46,1,0,2241,11,0,0,3089,0,2.24,1379,1,0,44,0,0,0,0
47,1,0,19338,1339,1130,1,31146,0,10.129,3075,1,0,153,0,0,1,0
48,0,0,2338,11,0,0,3179,0,0.802,3962,1,0,50,0,0,0,0
49,1,0,1332,7,38,0,1332,0,0.921,1446,1,1,18,0,0,0,0
50,1,0,207,13,0,0,47,0,0.015,3241,1,0,60,0,0,0,1
51,0,0,2120,38,136,0,665,0,0.193,3438,1,0,47,0,0,0,0
52,0,0,135923,210313,233908,0,80433,0,31.505,2553,1,1,121,0,1,0,1
53,0,0,3974,58,180,0,1760,0,0.695,2531,1,0,34,0,0,0,0
54,1,0,8089,409,0,1,9182,0,3.096,2966,1,0,33,0,0,0,0
55,1,0,1497,33,222,0,1654,0,0.695,2381,1,1,87,0,0,1,0
56,0,0,0,76,0,0,3793,0,1.598,2374,1,0,154,0,0,0,0
57,1,0,433,24,0,0,87,0,0.021,4097,1,1,60,0,0,0,1
58,1,0,1230,11,0,0,1230,0,0.841,1462,1,1,34,0,0,0,0
59,0,0,4,273,0,0,2082,0,1.957,1064,1,1,88,0,0,1,0
60,0,0,1648,736,924,1,1484,0,0.598,2482,1,0,145,0,0,0,1
61,1,0,210,7,0,0,13,0,0.005,2549,1,1,57,0,0,0,1
62,0,0,1748,18,29,0,2977,0,0.955,3118,1,0,125,0,0,0,0
63,0,0,282,3857,286,0,600,0,0.281,2135,1,1,33,0,1,0,0
64,0,0,2252,90,0,1,3752,0,1.214,3091,1,0,27,0,0,0,0
65,1,0,113,5,0,0,24,0,0.012,2027,1,1,57,0,0,0,1
66,1,0,439,11,0,0,21,0,0.006,3417,1,1,57,0,0,0,1
67,1,0,1235,8,0,0,1237,0,0.846,1462,1,1,150,0,0,0,0
68,1,0,27042,78286,88472,1,2310,0,0.765,3020,1,0,131,0,1,0,1
69,1,0,26,18,0,0,207,0,0.163,1271,1,0,72,0,0,0,0
70,1,0,11,1,0,0,135,0,0.11,1232,1,0,94,0,0,0,0
71,0,0,7168,128,650,0,3240,0,1.148,2822,1,1,75,0,0,0,0
72,0,0,4,1858,2065,0,5303,0,1.535,3455,1,0,157,0,0,0,0
73,0,0,2228,38,111,0,3097,0,0.743,4170,1,0,137,0,0,0,0
74,0,0,141,1339,1783,0,30256,0,10.487,2885,1,0,111,0,0,0,0
75,1,0,2252,528,1014,0,3285,0,0.977,3362,1,0,114,0,0,0,0
76,0,0,51,376,265,1,17592,0,4.711,3734,1,0,151,0,0,0,0
77,1,0,355,10,0,0,49,0,0.016,3065,1,0,66,0,0,0,1
78,0,0,2144,85,151,0,5429,0,1.495,3631,1,0,160,0,1,0,0
79,1,0,2192,1,75,0,2202,0,0.766,2875,1,0,131,0,0,0,0
80,1,0,4481,15,291,0,2815,0,0.821,3427,1,1,44,0,0,0,0
81,1,0,3185,243,879,0,5077,0,2.084,2436,1,0,87,0,0,0,0
82,0,0,9336,40,863,0,9466,0,5.038,1879,1,0,137,0,0,0,0
83,1,0,2289,35,125,1,3814,0,1.179,3236,1,0,35,0,0,0,0
84,0,0,102,76,433,1,875,0,0.218,4018,1,0,29,0,0,0,0
85,1,0,530,126,166,0,529,0,0.802,660,1,1,121,0,1,0,0
86,1,0,936,79,0,0,254,0,0.081,3128,1,0,61,0,0,0,1
87,1,0,2954,155,215,0,4939,0,1.659,2977,1,1,35,0,1,0,0
88,0,0,7336,1320,765,1,4166,0,1.675,2487,1,0,139,0,1,1,0
89,1,0,2160,10,43,0,2693,0,1.11,2427,1,1,38,0,0,0,0
90,1,0,1008,54,826,0,1585,0,0.59,2688,1,1,20,0,0,0,0
91,0,0,0,23,34,0,1227,0,1.199,1023,1,1,65,0,0,0,0
92,0,0,18169,895,503,1,21969,0,7.236,3036,1,1,41,0,0,0,0
93,1,0,2518,30,126,0,3316,0,2.209,1501,1,0,145,0,0,0,0
94,0,0,2586,32,0,1,4637,0,1.468,3158,1,1,86,0,0,0,0
95,1,0,2,488,4254,0,65,0,0.065,1004,1,0,88,0,0,0,0
96,1,0,236,8,0,0,49,0,0.015,3305,1,1,76,0,0,0,1
